localite_ID_renacom,latitude,loc_type,locality,longitude,n_bureau,n_population_2001,n_population_2012,n_voters
176,17.49,PE,ABAKA (PE),8.0,1,192,,0.0
177,19.1,VA,TEZNAT,7.86,1,433,,0.0
178,15.56,VA,MAZABABOU (ECOLE),7.38,1,522,,0.0
179,15.5,VA,INNAGAR,7.03,1,90,,0.0
180,15.43,VA,HAMAT MOUSSE,7.16,1,23,,0.0
181,15.58,VA,AMAN ZAGHA NINE,7.19,1,67,,0.0
182,15.59,VA,KARGADJI RT,7.21,1,85,,0.0
183,16.63,VA,ATRAK,6.53,1,196,,0.0
184,16.95,VA,ASSOUMAN ECOLE,6.2,1,289,,0.0
185,16.39,VA,MAKANKAN II,6.77,1,32,,0.0
186,16.72,VA,TARAZEINA,6.76,1,76,,0.0
187,17.33,VA,IGAREN-TILIGUINIT,7.2,1,67,,0.0
188,15.88,VA,ABORAK,6.88,2,233,179.0,404.0
189,15.98,VA,AGABARGABAR,6.99,1,319,,0.0
190,16.84,VA,TAMERA,7.07,1,119,,0.0
191,16.55,VA,TABZAGOR,7.24,1,46,,0.0
192,15.6,VA,INNAGAR,7.73,1,98,,0.0
193,17.27,VA,AZATAN,7.15,1,16,,0.0
194,17.69,VA,TIDEKAL,6.38,1,37,214.0,0.0
195,16.59,VA,AGAYA,6.33,2,391,,383.0
196,16.8,VA,TEWET,6.65,1,27,,0.0
197,17.43,VA,TIGUE DAN TESSOUM,6.65,1,410,,0.0
198,16.91,VA,LAZARAG,6.47,1,361,,0.0
199,16.85,VA,SORANE,6.43,1,147,,0.0
200,16.88,VA,WARAGASS,6.37,1,142,,0.0
201,16.98,VA,BINTINA,6.42,1,103,41.0,0.0
202,16.94,VA,TAGADAMAT,6.63,1,95,350.0,54.0
203,17.18,VA,INJITAN,7.25,1,636,434.0,0.0
204,17.51,VA,EMILEL,7.14,1,86,,0.0
205,17.39,VA,KOUT-KOUT,7.08,1,32,97.0,0.0
206,17.43,VA,TIGUIDAN NADRAR,6.65,1,106,,0.0
207,16.97,VA,TIGUINDE,7.42,1,119,243.0,322.0
208,17.35,H,ACHA-MAD-MAD,8.4,1,62,,0.0
209,16.73,VA,TIGUIRWIT,7.45,1,630,,0.0
210,17.27,VA,FAGHOCHIA,7.0,1,166,,0.0
211,17.28,VA,INBIZGUIN,7.19,1,18,,0.0
212,16.8,VA,AFOUNOUK,6.69,1,41,,131.0
213,16.38,VA,INJIGRAN,7.69,1,293,,0.0
214,16.17,VA,AMATALTAL,7.18,2,318,1200.0,837.0
215,16.87,VA,ASSAOUAS (ASSAWAS),7.45,1,985,,0.0
216,17.3,VA,TIGUIDAN TAGUEYT,7.46,1,596,,0.0
217,16.79,VA,INGALL,6.96,1,5601,,0.0
218,16.37,VA,MAKANKAN I,6.93,1,78,,0.0
219,16.63,VA,AGGOKI I,6.41,1,95,,0.0
220,15.41,VA,AGGOK II,6.85,1,75,,0.0
221,17.9,VA,INABAGHRIT,6.05,1,481,,0.0
222,15.48,CPT,AHAMED AHMED,6.92,1,21,,0.0
223,16.17,CPT,AMACHALWANE,7.4,1,20,,0.0
224,17.65,CPT,KOKARI,8.0,1,60,830.0,69.0
225,17.16,CPT,TCHELOUT,8.51,1,96,,0.0
226,17.56,CPT,TCHIMOUMOUNENE (VT),8.53,1,317,,0.0
227,16.82,CPT,TORGUIT (VT),6.97,1,359,,0.0
